1440,256,256,3,68,103,134,223
1605,256,256,3,53,15,223,187
198,256,256,3,91,93,150,182
91,256,256,3,43,13,201,242
27,256,256,3,93,71,168,196
1556,256,256,3,53,30,185,196
594,256,256,3,113,91,158,160
1645,256,256,3,93,88,181,164
1138,256,256,3,18,65,236,242
1390,256,256,3,92,55,123,113
1741,256,256,3,88,62,174,187
949,256,256,3,111,81,142,136
90,256,256,3,92,107,140,172
103,256,256,3,41,59,245,230
1706,256,256,3,58,21,206,241
1062,256,256,3,2,5,254,239
1325,256,256,3,89,42,144,134
1018,256,256,3,77,59,187,192
943,256,256,3,119,93,156,162
346,256,256,3,69,29,186,212
1820,256,256,3,18,20,191,218
185,256,256,3,0,25,253,255
1306,256,256,3,75,77,154,191
744,256,256,3,58,44,162,193
1859,256,256,3,80,65,147,231
1410,256,256,3,99,84,177,162
120,256,256,3,42,77,170,222
1819,256,256,3,89,84,165,203
1775,256,256,3,95,96,154,171
841,256,256,3,103,86,152,153
1173,256,256,3,52,27,182,228
1200,256,256,3,56,56,189,191
708,256,256,3,101,89,152,200
294,256,256,3,54,12,234,237
1350,256,256,3,130,126,221,224
1621,256,256,3,55,26,202,227
815,256,256,3,44,70,204,236
1781,256,256,3,79,83,208,201
1095,256,256,3,69,33,165,159
1430,256,256,3,82,63,136,148
981,256,256,3,93,107,142,170
176,256,256,3,39,52,209,182
1847,256,256,3,19,32,243,223
1720,256,256,3,103,95,183,162
1490,256,256,3,60,86,131,151
1443,256,256,3,45,41,186,237
990,256,256,3,23,46,222,222
630,256,256,3,119,89,146,141
1153,256,256,3,60,50,209,222
1098,256,256,3,54,45,191,240
1496,256,256,3,106,87,152,187
1167,256,256,3,50,17,214,244
159,256,256,3,0,0,255,255
721,256,256,3,7,61,178,248
1131,256,256,3,14,55,177,201
12,256,256,3,47,43,210,208
1177,256,256,3,46,8,201,187
1826,256,256,3,90,50,171,211
929,256,256,3,39,47,196,216
476,256,256,3,83,67,158,186
597,256,256,3,49,35,168,196
1297,256,256,3,78,62,207,180
995,256,256,3,46,58,191,192
1295,256,256,3,109,75,155,168
412,256,256,3,115,111,142,150
766,256,256,3,102,79,169,167
1846,256,256,3,76,73,170,195
1315,256,256,3,86,66,142,203
1748,256,256,3,75,45,180,172
296,256,256,3,73,78,171,173
1426,256,256,3,106,96,161,144
1842,256,256,3,86,63,156,156
474,256,256,3,112,110,146,155
396,256,256,3,101,85,162,180
515,256,256,3,131,105,158,150
626,256,256,3,122,114,132,133
901,256,256,3,118,109,149,139
1877,256,256,3,51,11,232,233
163,256,256,3,0,1,253,254
1585,256,256,3,62,61,169,212
494,256,256,3,107,95,154,174
1620,256,256,3,69,22,192,217
724,256,256,3,49,27,226,226
957,256,256,3,1,1,254,254
83,256,256,3,44,80,234,219
315,256,256,3,109,90,162,171
447,256,256,3,95,62,188,174
1550,256,256,3,68,55,183,188
72,256,256,3,0,6,255,255
1431,256,256,3,37,27,205,254
250,256,256,3,105,109,140,150
1419,256,256,3,92,83,143,173
402,256,256,3,36,40,208,219
1087,256,256,3,32,35,202,226
1375,256,256,3,59,92,101,167
88,256,256,3,42,73,211,184
4,256,256,3,60,37,220,217
