Epoch,dice_coeff,iou,fp,fn,precision,recall,fscore,train_loss,val_loss
0,0.4127613423686278,0.26308827259038625,5674.089920847039,256981.87787828947,0.9408470392227173,0.2674412101899323,0.4127581919494428,-0.6034301513472929,-0.34929084170021507
1,0.7130800524824544,0.559845191867728,30916.581337376643,21188.795512952303,0.6844307937120137,0.7540911930172067,0.713070135367544,-0.6312379971245267,-0.7023971919950686
2,0.7921031556631389,0.659775087707921,7596.880499588816,39753.13245271381,0.9256498672460255,0.7006119309287322,0.7920946902350375,-0.8508672287922032,-0.7581679413193151
3,0.8216170370578766,0.7013968244979256,25240.09408408717,6530.005782277961,0.751951697625612,0.9177014388536152,0.8216058219733992,-0.86511408374799,-0.7961516317568327
4,0.8557989769860318,0.750480874588615,13780.026418585527,14605.385587993422,0.8665065153648979,0.853241702443675,0.8557887343983901,-0.8896378701096339,-0.854013016349391
5,0.8478192608607443,0.7389292230731562,20221.173776726973,7868.204564144737,0.8008492839963812,0.9096597684057135,0.8478082340014609,-0.8918569609029403,-0.8308110017525522
6,0.8580037402479272,0.7551740094235069,7166.1237150493425,23156.730520148027,0.9298450319390548,0.8031750195904782,0.857994158017008,-0.898880634086811,-0.8381991166817514
7,0.8645513936092979,0.7640616140867534,15989.068667763158,10136.78181537829,0.8422461559897975,0.8948580387391543,0.8645406177169398,-0.8985060299469145,-0.8563138811211837
8,0.8708290834175912,0.7744282389941969,8722.211657072368,17736.880499588817,0.9143427359430414,0.8373070202375713,0.8708191263048273,-0.906939502978167,-0.8586987680510471
9,0.8584958110985003,0.7546258004088151,19354.173776726973,6652.686754728618,0.8072119449314318,0.9243810819952112,0.8584846148365423,-0.8990149876929276,-0.8400562938890959
10,0.8771144449710846,0.7834440328572926,10568.402446546053,13957.703227796053,0.896903866215756,0.8639295665841353,0.877104169444034,-0.9103716994752947,-0.8720222774304842
11,0.8765796517070971,0.7827129473811701,11288.398694490132,13141.025596217105,0.8895192648235121,0.8701858661676708,0.8765692946157957,-0.899841554906984,-0.8801234160598955
12,0.8759682366722509,0.781757558646955,10980.604440789473,13677.71330180921,0.8924347617124256,0.8658887618466428,0.8759579235001614,-0.9088495251358739,-0.8719296220101809
13,0.8754112908714696,0.7810446588616622,11237.821597450658,13485.442742598685,0.8895727521494815,0.8679019071553883,0.8754009337801683,-0.8978852384927257,-0.8793426626606992
14,0.8763690763398221,0.7824926956703788,10340.83341899671,14369.913702713815,0.8985617349022313,0.8609479273620405,0.8763588290465506,-0.912485342546804,-0.8705233555091055
15,0.8771191662863681,0.7835503785233748,11218.98787006579,13103.675986842105,0.8902562684134433,0.8703394861597764,0.8771088201748697,-0.8961058195853076,-0.8807499675374282
16,0.876818691429339,0.7829925872777638,10392.99357524671,14169.85701069079,0.8986743782695971,0.8617416510456487,0.8768084566844138,-0.9117205225868731,-0.8710848751821016
17,0.8770828294126611,0.7832644817076231,12530.723273026315,11493.764134457237,0.8771105518466548,0.8832157740467473,0.8770723013501418,-0.90091293379171,-0.8764126677262155
18,0.8771277179843501,0.7834397821049941,10241.673828125,14300.821648848685,0.900089431750147,0.8610292061379081,0.877117500493401,-0.91015868648788,-0.8710475940453378
19,0.8767728993767187,0.7829525690329703,12040.699681332237,12151.124126233553,0.8816105739066475,0.878166714781209,0.8767624262132143,-0.8984070053163743,-0.877680071090397
20,0.8776262480961649,0.7842143538751101,11611.885690789473,12516.156147203947,0.8861928770416662,0.8749398479336187,0.8776158392429352,-0.911491211281707,-0.8760788613244107
21,0.8748994108877683,0.7799307813769892,12859.699835526315,11576.296206825658,0.8739625811576843,0.8823419056440654,0.8748888859623357,-0.901409174038085,-0.873875263490175
22,0.877905764077839,0.7845294663780614,12377.112356085527,11448.735094572368,0.8788370929266277,0.8829106970837242,0.8778952501322094,-0.9096838429274149,-0.8788910037592838
23,0.8783967996898451,0.7853903378310957,11894.756013569078,11998.210063733553,0.8834446950962669,0.8793717638442391,0.8783863139779944,-0.8993136476207253,-0.8793968981818149
24,0.8762054615899136,0.7821150327983656,11289.211143092105,13236.830592105263,0.8892854750156403,0.8693490310719139,0.8761951107727853,-0.911238650217751,-0.8732454572853289
